TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
Fall 2024,PHYS,2325,1,10002,University Physics I (lecture),Timmins,Anthony Robert,58,49,54,11,4,0,19,2.813
Fall 2024,GENB,7A97,1,10004,Selected Topics,Haseley,Ken A.,9,0,0,0,0,0,0,4.0
Fall 2024,GENB,7A97,2,10005,Selected Topics,Haseley,Ken A.,7,1,1,0,0,0,0,3.667
Fall 2024,GENB,7A97,3,10006,Selected Topics,Williams,John M,9,0,0,0,0,0,0,3.89
Fall 2024,GENB,7A97,4,10007,Selected Topics,Williams,John M,8,1,0,0,0,0,0,3.889
Fall 2024,SCM,6301,1,10008,Supply Chain Mgt Foundations,Hosseinabadi Farahani,Mehdi,12,1,0,0,0,0,0,3.822
Fall 2024,SCM,6301,2,10009,Supply Chain Mgt Foundations,Smith,Gordon D,4,2,0,0,0,0,0,3.722
Fall 2024,MANA,6A25,1,10010,Ethical Leadrshp & Crit Reason,Krylova,Ksenia O,9,0,0,0,0,0,0,4.0
Fall 2024,MANA,6332,1,10011,Organiztnl Behavior & Mangemnt,Werner,Steve,8,1,0,0,0,0,0,3.889
Fall 2024,BZAN,6310,5,10012,Quant Analysis for Busn Dec,Johnson,Norman A,5,4,0,0,0,0,0,3.482
Fall 2024,BZAN,6310,6,10013,Quant Analysis for Busn Dec,Johnson,Norman A,5,2,2,0,0,0,0,3.223
Fall 2024,MANA,6383,1,10014,Strategic Managment,Carlin,Barbara A,4,2,0,0,0,0,0,3.667
Fall 2024,COMM,6399,1,10015,Masters Thesis,Yamasaki,Jill S,3,0,0,0,0,0,0,4.0
Fall 2024,SOCW,8323,1,10017,Research Methods III,Scott Jr,Edward Douglas,9,0,0,0,0,0,0,4.0
Fall 2024,PHIL,1301,4,10020,Intro To Philosophy,Haaga,Curtis W,21,15,8,3,0,0,1,3.17
Fall 2024,PHIL,1305,1,10021,Intro To Ethics,Aiman,Edwin E,60,33,8,0,5,0,6,3.33
Fall 2024,PHIL,1361,1,10022,Philosophy and the Arts,Drapela,Nick Gerard,8,21,6,1,3,0,11,2.702
Fall 2024,ARCH,1500,1,10023,Design Studio I,Wells,Adam C,10,4,2,0,0,0,0,3.397
Fall 2024,ARCH,1500,3,10025,Design Studio I,Murray,Cara,2,10,3,0,0,0,1,3.021
Fall 2024,ARCH,1500,5,10027,Design Studio I,McEuen,Aaron Ross,6,7,2,0,0,0,0,3.289
Fall 2024,ARCH,1500,9,10031,Design Studio I,Price,Desirae,3,11,0,0,0,0,0,3.144
Fall 2024,ARCH,1500,11,10033,Design Studio I,Woodfill,Celeste Ponce,2,7,3,0,0,0,2,2.807
Fall 2024,ARCH,1500,13,10035,Design Studio I,Olwi,Asmaa,5,6,3,0,0,0,0,3.166
Fall 2024,ARCH,2350,1,10037,Hist of the Built Environmt I,Ramaswamy,Deepa,71,87,12,6,2,0,2,3.173
Fall 2024,ARCH,2500,1,10044,Arc/Int Arc Design Studio III,Gonzales,Michael A,14,2,4,0,0,0,0,3.302
Fall 2024,ARCH,2500,5,10046,Arc/Int Arc Design Studio III,Murray,Cara,6,10,1,0,0,0,1,3.178
Fall 2024,ARCH,2500,11,10048,Arc/Int Arc Design Studio III,Wienert,Ross George,11,7,0,0,0,0,0,3.519
Fall 2024,ARCH,5500,3,10051,Architecture Design Studio IX,Longoria,Rafael R,5,0,0,0,0,0,0,4.0
Fall 2024,ARCH,6340,1,10055,Architectural History Survey I,Ramaswamy,Deepa,5,5,2,2,0,0,0,2.976
Fall 2024,ARCH,7600,1,10057,Architecture Design Studio V,Race,Bruce Alan,2,1,0,0,0,0,0,3.337
Fall 2024,INDS,2340,1,10059,Visual Communication,Jamjoom,Zain Ahmed,2,11,1,0,1,0,1,2.889
Fall 2024,INDS,2355,1,10061,Design History I,Westich,Stephen,6,18,5,1,0,0,1,2.912
Fall 2024,INDS,3500,1,10062,Industrial Design Studio V,Feng,Jeff Feng,3,11,0,0,0,0,0,3.261
Fall 2024,ACCT,2301,1,10067,Prin of Financial Accounting,Sykes,Mary Reeves,33,11,7,3,0,0,4,3.45
Fall 2024,ACCT,2301,2,10068,Prin of Financial Accounting,Serrato,Darlene Marie  Bohac,19,62,29,26,12,0,20,2.431
Fall 2024,ACCT,3377,1,10070,Cost Accounting,Lin,Haijin,19,24,11,0,2,0,3,2.989
Fall 2024,ACCT,3377,2,10071,Cost Accounting,Lin,Haijin,26,19,12,0,1,0,0,3.184
Fall 2024,ACCT,3368,1,10072,Intermediate Accounting II,Muslu,Volkan,3,9,14,0,1,0,0,2.408
Fall 2024,ACCT,4335,1,10073,Financial Statement Auditing,Zhao,Yuping,30,42,2,1,0,0,0,3.355
Fall 2024,ACCT,4375,1,10074,Internal Audit Entity Environ,Brant Jr,Robert Edward,3,13,3,1,0,0,1,2.999
Fall 2024,ACCT,6331,1,10076,Financial Accounting,Ramaswamy,Vinita,31,7,2,0,0,0,0,3.75
Fall 2024,ACCT,6331,2,10077,Financial Accounting,Ramaswamy,Vinita,21,12,5,0,2,0,0,3.316
Fall 2024,ACCT,6331,4,10078,Financial Accounting,Zhu,Limin,6,13,6,0,2,0,0,2.802
Fall 2024,ACCT,7330,1,10079,Advanced Accounting,Larson,Chad R,7,6,0,1,1,0,0,3.089
Fall 2024,ACCT,7330,2,10080,Advanced Accounting,Larson,Chad R,11,15,2,0,1,0,1,3.173
Fall 2024,ACCT,7340,1,10081,Financial Statement Analysis,Lu,Tong,32,2,0,0,0,0,0,3.893
Fall 2024,ACCT,7375,1,10082,Taxation of Business Entities,Mangano,Clifford A,11,12,0,0,1,0,0,3.347
Fall 2024,ACCT,8699,1,10083,Doctoral Dissertation,Lobo,Gerald,0,0,0,0,0,1,0,
