TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
Fall 2022,PHYS,2325,1,10002,University Physics I (lecture),Chu,Ching Wu,31,65,15,7,6,0,27,2.914
Fall 2022,FINA,6387,2,10004,Managerial Analysis,Basu,Swati,14,0,0,0,0,0,0,3.906
Fall 2022,GENB,7A97,1,10005,Selected Topics,Haseley,Ken A.,12,0,0,0,0,0,0,4.0
Fall 2022,GENB,7A97,2,10006,Selected Topics,Haseley,Ken A.,9,3,1,0,0,0,0,3.615
Fall 2022,GENB,7A97,3,10007,Selected Topics,Williams,John M,12,0,0,0,0,0,0,4.0
Fall 2022,GENB,7A97,4,10008,Selected Topics,Williams,John M,13,0,0,0,0,0,0,4.0
Fall 2022,SCM,6301,1,10009,Supply Chain Mgt Foundations,Smith,Gordon D,12,2,0,0,0,0,0,3.81
Fall 2022,SCM,6301,2,10010,Supply Chain Mgt Foundations,Smith,Gordon D,8,1,0,0,0,0,0,3.926
Fall 2022,MANA,6A25,1,10011,Ethical Leadrshp & Crit Reason,Carlin,Barbara A,9,3,0,0,0,0,0,3.695
Fall 2022,MANA,6A25,2,10012,Ethical Leadrshp & Crit Reason,Carlin,Barbara A,10,2,1,0,0,0,0,3.667
Fall 2022,MANA,6332,1,10013,Organiztnl Behavior & Mangemnt,Werner,Steve,12,0,0,0,0,0,0,4.0
Fall 2022,BZAN,6310,5,10014,Quant Analysis for Busn Dec,Johnson,Norman A.,9,3,0,0,0,0,0,3.778
Fall 2022,BZAN,6310,6,10015,Quant Analysis for Busn Dec,Johnson,Norman A.,10,3,0,0,0,0,0,3.744
Fall 2022,COMM,6399,1,10018,Masters Thesis,Camaj,Lindita,2,0,0,0,0,0,0,4.0
Fall 2022,SOCW,8334,1,10019,Social Policy Analysis,Ali,Samira Bano,7,0,0,0,0,0,1,4.0
Fall 2022,SOCW,8323,1,10020,Research Methods III,Sampson,McClain,6,1,0,0,0,0,0,3.904
Fall 2022,SOCW,8395,3,10021,Pre-Dissertation Research,Torres,Isabel,0,0,0,0,0,0,0,
Fall 2022,PHIL,1301,3,10022,Intro To Philosophy,Haaga,Curtis W,23,17,4,0,1,0,1,3.297
Fall 2022,PHIL,1301,4,10023,Intro To Philosophy,Haaga,Curtis W,42,16,0,0,0,0,0,3.622
Fall 2022,PHIL,1305,1,10024,Intro To Ethics,Aiman,Edwin E,31,27,5,2,3,0,2,3.157
Fall 2022,PHIL,1361,1,10025,Philosophy and the Arts,Drapela,Nick Gerard,11,19,10,3,0,0,7,2.876
Fall 2022,ARCH,1500,1,10026,Design Studio I,Lutz,Shawn M,8,4,2,0,0,0,0,3.429
Fall 2022,ARCH,1500,3,10028,Design Studio I,Murray,Cara,4,6,1,0,0,0,2,3.303
Fall 2022,ARCH,1500,5,10030,Design Studio I,Li,Leyuan,8,5,0,0,0,0,1,3.565
Fall 2022,ARCH,1500,7,10032,Design Studio I,Wells,Adam C,2,8,2,0,0,0,2,3.11
Fall 2022,ARCH,1500,9,10034,Design Studio I,Gaines,Preston,6,4,2,0,0,0,0,3.278
Fall 2022,ARCH,1500,11,10036,Design Studio I,Kudless,Andrew Justin,6,3,2,0,1,0,1,3.001
Fall 2022,ARCH,1500,13,10038,Design Studio I,Olwi,Asmaa,3,3,0,0,0,0,5,3.5
Fall 2022,ARCH,2350,1,10040,Hist of the Built Environmt I,Ramaswamy,Deepa,60,92,11,2,8,0,4,3.049
Fall 2022,ARCH,2500,1,10047,Arc/Int Arc Design Studio III,Gonzales,Michael A,8,8,1,0,0,0,1,3.354
Fall 2022,ARCH,2500,5,10049,Arc/Int Arc Design Studio III,Li,Leyuan,12,4,1,0,0,0,1,3.608
Fall 2022,ARCH,2500,9,10051,Arc/Int Arc Design Studio III,Wienert,Ross George,6,10,1,0,0,0,1,3.275
Fall 2022,ARCH,2500,11,10053,Arc/Int Arc Design Studio III,Murray,Cara,4,7,4,2,0,0,1,2.765
Fall 2022,ARCH,2500,13,10055,Arc/Int Arc Design Studio III,Medina Vilela,Mario Andre,5,8,3,0,1,0,0,2.922
