TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
Spring 2024,SOCW,7325,1,10340,Individuals: Adv Clinical Prac,Amtsberg,Donna K,20,1,0,0,0,0,1,3.952
Spring 2024,PHIL,1301,1,10341,Intro To Philosophy,Aiman,Edwin E,49,13,5,1,4,0,1,3.325
Spring 2024,PHIL,1301,3,10342,Intro To Philosophy,Haaga,Curtis W,59,33,2,2,3,0,1,3.411
Spring 2024,PHIL,1301,4,10343,Intro To Philosophy,Oliveira,Luis RG,119,73,11,2,5,0,10,3.378
Spring 2024,PHIL,1305,1,10344,Intro To Ethics,Coates,Daniel J,55,48,4,0,2,0,7,3.443
Spring 2024,PHIL,1305,2,10345,Intro To Ethics,Aiman,Edwin E,37,24,4,1,5,0,3,3.188
Spring 2024,PHIL,1305,3,10346,Intro To Ethics,Sommers,Tamler S,86,17,8,0,4,0,3,3.554
Spring 2024,PHIL,1321,2,10347,Logic I,Buckner,Cameron J,28,16,17,0,7,0,16,2.775
Spring 2024,PHIL,1321,3,10348,Logic I,Haaga,Curtis W,28,13,13,10,2,0,9,2.793
Spring 2024,PHIL,1321,5,10350,Logic I,Haaga,Curtis W,24,17,17,2,3,0,9,2.847
Spring 2024,PHIL,1361,1,10351,Philosophy and the Arts,Drapela,Nick Gerard,13,17,6,4,1,0,8,2.854
Spring 2024,PHIL,1361,2,10352,Philosophy and the Arts,Drapela,Nick Gerard,11,21,6,2,2,0,7,2.842
Spring 2024,PHIL,1361,3,10353,Philosophy and the Arts,Drapela,Nick Gerard,8,15,13,5,0,0,8,2.626
Spring 2024,PHIL,1361,4,10354,Philosophy and the Arts,Drapela,Nick Gerard,16,14,7,1,2,0,9,2.967
Spring 2024,PHIL,3386,1,10355,19th Century Philosophy,Werner,Andrew Timothy,19,8,2,0,1,0,1,3.401
Spring 2024,PHIL,3358,1,10356,Classics in Hist of Ethics,Phillips,David K,16,13,4,1,1,0,1,3.172
Spring 2024,ARCH,4324,1,10357,High-Rise Structures,Colaco,Joseph P,1,3,6,0,0,0,0,2.401
Spring 2024,ARCH,6324,1,10358,High Rise Structures,Colaco,Joseph P,7,2,0,0,0,0,0,3.594
Spring 2024,AAS,2320,2,10360,Intro To African American Stdy,Shakir,Ameenah,15,11,9,0,4,0,1,2.787
Spring 2024,ACCT,2301,1,10362,Prin of Financial Accounting,Zhu,Limin,17,28,19,11,1,0,9,2.784
Spring 2024,ACCT,3368,1,10364,Intermediate Accounting II,Sun,Xue,9,13,11,1,0,0,1,2.911
Spring 2024,ACCT,4331,1,10365,Federal Income Tax,Fernandez,Ramon,13,21,12,1,0,0,1,3.084
Spring 2024,ACCT,4331,2,10366,Federal Income Tax,Small,Randolph Christopher,17,8,1,0,0,0,0,3.615
Spring 2024,ACCT,4396,1,10367,Accounting Internship,Newman,Michael Ray,0,0,0,0,0,25,0,
Spring 2024,ACCT,5330,1,10368,Advanced Accounting,Ramaswamy,Vinita,2,0,0,0,0,0,0,3.835
Spring 2024,ACCT,5337,1,10369,Management Accounting,Serrato,Darlene Marie  Bohac,6,1,2,0,0,0,1,3.444
Spring 2024,ACCT,5368,1,10370,Intermediate Accounting II,Kraten,Michael,6,5,0,0,0,0,0,3.545
Spring 2024,ACCT,6331,1,10371,Financial Accounting,Li,Bin,18,8,1,0,0,0,0,3.581
Spring 2024,ACCT,7330,1,10372,Advanced Accounting,Ramaswamy,Vinita,6,3,0,0,0,0,0,3.74
Spring 2024,ACCT,7330,2,10373,Advanced Accounting,Ramaswamy,Vinita,1,1,0,0,0,0,0,3.665
Spring 2024,ACCT,7340,1,10374,Financial Statement Analysis,Crawford,Steven,4,8,0,0,0,0,0,3.443
Spring 2024,ACCT,7340,2,10375,Financial Statement Analysis,Crawford,Steven,7,3,0,0,1,0,0,3.394
Spring 2024,ACCT,8699,1,10376,Doctoral Dissertation,Lobo,Gerald,1,0,0,0,0,0,0,4.0
Spring 2024,AFSC,1202,1,10378,Foundations of the USAF II,Bolarinwa,Feyisade,10,1,0,0,0,0,1,3.849
Spring 2024,AFSC,1202,2,10379,Foundations of the USAF II,Bolarinwa,Feyisade,9,0,0,0,0,0,2,3.963
Spring 2024,AFSC,2202,1,10381,Evolution of Air Power II,O'Connor,Anthony,4,0,0,0,0,0,1,3.918
