TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
Summer 2024,MIS,6341,1,10003,Information Systems,Silva,Leiser O,14,0,0,0,0,0,0,4.0
Summer 2024,BZAN,7320,1,10004,Bus Modeling For Comp Adv,Wiley,Briceon C,6,0,0,0,0,0,0,4.0
Summer 2024,PHAR,5493,1,10005,Introduction to Community IPPE,Hatfield,Catherine L,75,26,1,1,0,0,0,3.699
Summer 2024,PHAR,4280,1,10006,Med/Pt Safety & Informatics,Varkey,Divya A,99,6,0,0,0,0,0,3.943
Summer 2024,BIOE,8398,2,10007,Doctoral Research,Shevkoplyas,Sergey,0,0,0,0,0,1,0,
Summer 2024,MARK,3336,1,10020,Introduction to Marketing,Zahn,William J,49,86,35,2,2,0,3,2.991
Summer 2024,MARK,6398,1,10021,Research,Herman,Carl,1,0,0,0,0,0,0,4.0
Summer 2024,LAW,5210,1,10035,Law Review,Sanders,Joseph,0,0,0,0,0,0,0,
Summer 2024,LAW,5410,1,10039,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,
Summer 2024,LAW,6354,1,10043,Houston Journal of Int'l Law,Trujillo,Elizabeth I,0,0,0,0,0,1,0,
Summer 2024,ECON,3332,1,10048,Intermediate Microeconomics,Troncoso,Pablo A,14,7,4,0,0,0,0,3.426
Summer 2024,ECON,8399,1,10049,Doctoral Dissertation,Yi,Kei-Mu,1,0,0,0,0,0,0,4.0
Summer 2024,ECON,8699,3,10051,Doctoral Dissertation,Sorensen,Bent E,0,0,0,0,0,1,0,
Summer 2024,SPAN,2311,1,10062,Intermediate Spanish I,Jouannet De La Jara,Sebastian Nicolas,7,10,3,1,1,0,0,2.91
Summer 2024,SPAN,2311,3,10063,Intermediate Spanish I,del Castillo Garza,Alejandro,6,10,4,0,0,0,2,3.034
Summer 2024,SPAN,2312,1,10064,Intermediate Spanish II,Scalzo,Dillon S,4,16,6,0,0,0,0,2.91
Summer 2024,SPAN,2307,1,10065,Span for Heritage Learners I,Lopez Otero,Julio Cesar,11,2,2,1,2,0,0,3.074
Summer 2024,SPAN,6398,4,10067,Special Problems,Gutierrez,Manuel J,0,0,0,0,0,0,0,
Summer 2024,SPAN,7398,1,10069,Reading & Research,Gutierrez,Manuel J,0,0,0,0,0,1,0,
Summer 2024,SPAN,8699,1,10071,Dissertation,Rivera Garza,Cristina,0,0,0,0,0,1,0,
Summer 2024,SPAN,8699,2,10072,Dissertation,Hasbun,Rodrigo,0,0,0,0,0,1,0,
Summer 2024,ECON,2302,1,10074,Principles of Microeconomics,Hossain,Md Shahadath,51,87,9,0,0,0,0,3.263
Summer 2024,BIOL,1106,1,10080,Biol for Science Majors I(Lab),Ibrahim,Abdalla Zanouny,12,5,1,0,0,0,0,3.629
Summer 2024,BIOL,1106,2,10081,Biol for Science Majors I(Lab),Ibrahim,Abdalla Zanouny,9,2,0,0,0,0,1,3.848
Summer 2024,BIOL,1106,3,10082,Biol for Science Majors I(Lab),Ibrahim,Abdalla Zanouny,12,1,2,0,0,0,0,3.579
Summer 2024,BIOL,1306,1,10084,Biology for Science Majors I,Cheek,Ann Oliver,23,25,20,0,2,0,2,2.99
Summer 2024,CHEM,1111,2,10087,Fundamentals of Chm Lab,Zaitsev,Vladimir G,3,10,0,0,0,0,0,3.18
Summer 2024,CHEM,2123,1,10088,Organic Chemistry Lab I,Zaitsev,Vladimir G,4,9,8,0,0,0,0,2.841
Summer 2024,CHEM,2123,3,10089,Organic Chemistry Lab I,Zaitsev,Vladimir G,6,7,4,2,0,0,1,2.877
Summer 2024,MATH,1324,2,10090,Finite Math with Applications,Sosa,Moses,16,20,12,10,10,0,6,2.275
Summer 2024,MATH,2413,3,10091,Calculus I,Sosa,Moses,12,20,14,8,10,0,6,2.168
Summer 2024,MATH,4377,1,10094,Advanced Linear Algebra I,Labate,Demetrio,2,3,3,0,0,0,1,2.834
Summer 2024,PHYS,1301,1,10142,College Physics I (lecture),Cardoso Barato,Andre,44,20,22,9,2,0,11,2.945
Summer 2024,PHYS,8399,14,10184,Doctoral Dissertation,Das,Mini,0,0,0,0,0,1,0,
Summer 2024,PHYS,8399,24,10194,Doctoral Dissertation,Ordonez,Carlos,0,0,0,0,0,1,0,
Summer 2024,PHYS,8399,34,10201,Doctoral Dissertation,Timmins,Anthony Robert,1,0,0,0,0,0,0,4.0
Summer 2024,PHYS,1101,1,10205,College Physics I (lab),Wood,Lowell T,0,9,7,0,0,0,0,2.624
Summer 2024,PHYS,1101,2,10206,College Physics I (lab),Wood,Lowell T,3,9,5,0,0,0,0,2.863
Summer 2024,SCM,3301,1,10212,SCM Fundamentals,Khumawala,Basheer M,97,60,8,1,2,0,4,3.464
Summer 2024,HLT,3301,1,10213,Health Behavior Theories,Bennett,Kristin C,52,10,2,0,1,0,0,3.688
Summer 2024,SPAN,1501,5,10261,Elementary Spanish I,Carrera Quiroga,Emilio Vicente,5,4,4,0,2,0,0,2.513
Summer 2024,SPAN,1502,1,10263,Elementary Spanish II,Nieves Cabrera,Wendy,8,6,7,1,0,0,1,2.955
Summer 2024,SPAN,1502,3,10265,Elementary Spanish II,Falahasl,Hamideh,10,4,3,0,2,0,2,3.035
Summer 2024,ACCT,2301,3,10268,Prin of Financial Accounting,Sykes,Mary Reeves,16,11,4,1,0,0,2,3.426
Summer 2024,ACCT,2302,2,10269,Prin of Managerial Accounting,Weber,Catherine K,8,8,6,3,1,0,1,2.794
Summer 2024,ACCT,4396,1,10270,Accounting Internship,Newman,Michael Ray,0,0,0,0,0,4,0,
Summer 2024,ENTR,3312,1,10274,Corporate Entrepreneurship,Karonika,John R,32,2,0,0,0,0,7,3.902
Summer 2024,ENTR,3312,2,10275,Corporate Entrepreneurship,Karonika,John R,29,6,0,0,0,0,6,3.81
Summer 2024,ECON,4390,2,10299,Economics Internship,Saboury,Piruz,13,0,0,0,0,0,0,4.0
Summer 2024,SPAN,2312,6,10302,Intermediate Spanish II,Gonzalez Torres,Leonardo Elian Maximiliano Ilovik,3,7,6,1,1,0,0,2.519
Summer 2024,SPAN,2312,12,10303,Intermediate Spanish II,Jager Lopezllera,Valentina Kathe,5,11,5,2,1,0,0,2.722
Summer 2024,SPAN,2308,1,10304,Span for Heritage Learners II,Hernandez,Yanina,9,9,0,1,0,0,1,3.299
Summer 2024,SPAN,6398,9,10305,Special Problems,De Los Reyes Heredia,Jose Guillermo,2,0,0,0,0,0,0,4.0
Summer 2024,SPAN,8699,4,10310,Dissertation,Kanellos,Nicolas,1,0,0,0,0,0,0,4.0
