TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,TOTAL DROPPED,AVG GPA
Summer 2023,MIS,6341,1,10003,Information Systems,Silva,Leiser O,7,0,0,0,0,0,0,3.953
Summer 2023,BZAN,7320,1,10004,Bus Modeling For Comp Adv,Wiley,Briceon C,12,0,0,0,0,0,0,4.0
Summer 2023,PHAR,5493,1,10007,Introduction to Community IPPE,Hatfield,Catherine L,64,45,2,0,0,0,0,3.559
Summer 2023,PHAR,4280,1,10008,Med/Pt Safety & Informatics,Varkey,Divya A,111,2,0,0,0,0,0,3.982
Summer 2023,BIOE,8398,2,10009,Doctoral Research,Shevkoplyas,Sergey,0,0,0,0,0,1,0,
Summer 2023,MARK,3336,1,10022,Introduction to Marketing,Zahn,William J,24,37,12,5,2,0,1,2.95
Summer 2023,MARK,6398,1,10023,Research,Herman,Carl,7,0,0,0,0,0,0,4.0
Summer 2023,INDE,2333,1,10032,Engineering Statistics I,Wiggins,Nathanial David,1,3,0,0,0,0,0,3.25
Summer 2023,LAW,5210,1,10038,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,
Summer 2023,LAW,5410,1,10042,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,
Summer 2023,LAW,6209,1,10043,Health Law Journal,Mantel,Jessica,0,0,0,0,0,1,0,
Summer 2023,LAW,6211,1,10044,Houston Buiness/Tax Journal,Wells,Douglas,0,0,0,0,0,1,0,
Summer 2023,LAW,6318,1,10045,Houston Business/Tax Journal,Wells,Douglas,0,0,0,0,0,1,0,
Summer 2023,ECON,3332,1,10053,Intermediate Microeconomics,Lin,Shuan-Wen,11,2,2,3,1,0,1,2.948
Summer 2023,ECON,8699,1,10062,Doctoral Dissertation,Yi,Kei-Mu,0,0,0,0,0,1,0,
Summer 2023,SOC,6399,3,10074,Masters Thesis,Anderson,Kathryn,0,0,0,0,0,0,0,
Summer 2023,SPAN,2311,1,10075,Intermediate Spanish I,Pueyo Castan,Josefa,1,6,14,2,0,0,0,2.189
Summer 2023,SPAN,2311,3,10076,Intermediate Spanish I,Miranda Moreno,Sujaila Abigail,4,12,6,0,1,0,0,2.768
Summer 2023,SPAN,2312,1,10077,Intermediate Spanish II,Mejia Lara,Airy Sindik,2,9,5,1,0,0,0,2.57
Summer 2023,SPAN,2307,1,10078,Span for Heritage Learners I,Hernandez,Estela,15,3,2,0,0,0,0,3.584
Summer 2023,SPAN,7298,1,10084,Reading & Research,Rivera Garza,Cristina,0,0,0,0,0,1,0,
Summer 2023,ECON,2302,1,10090,Principles of Microeconomics,Melendez Lugo,Joel,12,22,20,4,1,0,2,2.661
Summer 2023,BIOL,1106,1,10096,Biol for Science Majors I(Lab),Medrano,Ana I,17,5,0,0,0,0,1,3.743
Summer 2023,BIOL,1106,2,10097,Biol for Science Majors I(Lab),Medrano,Ana I,15,6,1,0,0,0,0,3.561
Summer 2023,BIOL,1106,4,10099,Biol for Science Majors I(Lab),Medrano,Ana I,12,3,0,0,1,0,0,3.501
Summer 2023,BIOL,1306,1,10100,Biology for Science Majors I,Gifford,Jenifer,20,17,18,11,5,0,2,2.456
Summer 2023,BIOL,6398,1,10101,Special Problems,Lin,Chin-Yo,0,0,0,0,0,1,0,
Summer 2023,BIOL,8698,1,10104,Doctoral Research,Rodrigues,Debora Frigi,0,0,0,0,0,1,0,
Summer 2023,CHEM,1111,2,10105,Fundamentals of Chm Lab,Zaitsev,Vladimir G,6,9,0,0,0,0,0,3.4
Summer 2023,CHEM,2123,1,10106,Organic Chemistry Lab I,Zaitsev,Vladimir G,7,14,0,0,1,0,2,3.122
Summer 2023,CHEM,2123,3,10108,Organic Chemistry Lab I,Zaitsev,Vladimir G,5,10,7,1,0,0,0,2.898
Summer 2023,MATH,1324,2,10109,Finite Math with Applications,Sosa,Moses,30,18,2,14,14,0,8,2.462
Summer 2023,MATH,2413,3,10110,Calculus I,Sosa,Moses,24,18,8,8,10,0,16,2.569
Summer 2023,MATH,4377,1,10113,Advanced Linear Algebra I,Ru,Min,1,4,1,0,1,0,0,2.524
Summer 2023,MATH,6398,12,10126,Special Problems,Ru,Min,0,0,0,0,0,1,0,
Summer 2023,PHYS,1301,1,10161,College Physics I (lecture),Cardoso Barato,Andre,45,27,18,1,1,0,13,3.193
Summer 2023,PHYS,8398,5,10259,Doctoral Research,Cardoso Barato,Andre,0,0,0,0,0,1,0,
Summer 2023,PHYS,8398,6,10260,Doctoral Research,Bassler,Kevin E,0,0,0,0,0,1,0,
Summer 2023,PHYS,8398,7,10261,Doctoral Research,Bellwied,Rene,0,0,0,0,0,1,0,
Summer 2023,PHYS,8398,15,10269,Doctoral Research,Gunaratne,Gemunu,0,0,0,0,0,2,0,
Summer 2023,PHYS,8398,16,10270,Doctoral Research,Hosur,Pavan R,0,0,0,0,0,1,0,
Summer 2023,PHYS,8398,20,10274,Doctoral Research,Meier,Mark Albert,0,0,0,0,0,1,0,
Summer 2023,PHYS,8398,23,10276,Doctoral Research,Morrison,Gregory C,0,0,0,0,0,1,0,
Summer 2023,PHYS,8398,24,10277,Doctoral Research,Ordonez,Carlos,0,0,0,0,0,3,0,
Summer 2023,PHYS,8398,27,10280,Doctoral Research,Ren,Zhifeng,0,0,0,0,0,4,0,
Summer 2023,PHYS,8398,28,10281,Doctoral Research,Renshaw,Andrew,0,0,0,0,0,1,0,
Summer 2023,PHYS,8399,5,10290,Doctoral Dissertation,Bellwied,Rene,1,0,0,0,0,0,0,4.0
Summer 2023,PHYS,8399,6,10291,Doctoral Dissertation,Varghese,Oomman K,0,0,0,0,0,1,0,
Summer 2023,PHYS,8399,16,10301,Doctoral Dissertation,Gunaratne,Gemunu,1,0,0,0,0,0,0,4.0
Summer 2023,PHYS,8399,19,10304,Doctoral Dissertation,Koerner,Lisa Whitehead,0,0,0,0,0,1,0,
Summer 2023,PHYS,8399,25,10310,Doctoral Dissertation,Pinsky,Lawrence S,0,1,0,0,0,0,0,3.33
Summer 2023,PHYS,1101,1,10412,College Physics I (lab),Wood,Lowell T,0,10,7,0,0,0,0,2.608
Summer 2023,PHYS,1101,2,10413,College Physics I (lab),Wood,Lowell T,0,11,6,0,0,0,0,2.608
Summer 2023,PHYS,1101,3,10414,College Physics I (lab),Wood,Lowell T,1,13,3,0,0,0,0,2.805
Summer 2023,PHYS,8398,39,10417,Doctoral Research,Kakadiaris,Ioannis A,0,0,0,0,0,1,0,
Summer 2023,SCM,3301,1,10420,SCM Fundamentals,Khumawala,Basheer M,131,54,11,0,1,0,1,3.562
Summer 2023,HLT,3301,1,10421,Health Behavior Theories,Bennett,Kristin C,63,6,0,0,0,0,1,3.841
Summer 2023,SPAN,1501,5,10471,Elementary Spanish I,Benalcazar Astudillo,Diana Salome,5,7,3,1,4,0,0,2.334
Summer 2023,SPAN,1502,1,10473,Elementary Spanish II,Cervantes Figueroa,Ana Silvia,14,7,2,0,0,0,1,3.565
Summer 2023,SPAN,1502,3,10475,Elementary Spanish II,Gonzalez Torres,Leonardo Elian Maximiliano Ilovik,6,13,0,0,0,0,0,3.212
Summer 2023,ACCT,2301,3,10478,Prin of Financial Accounting,Sykes,Mary Reeves,18,4,9,1,1,0,2,3.131
Summer 2023,ACCT,2302,2,10479,Prin of Managerial Accounting,Weber,Catherine K,11,13,9,2,0,0,2,3.018
Summer 2023,ACCT,4396,1,10480,Accounting Internship,Newman,Michael Ray,0,0,0,0,0,6,0,
Summer 2023,ENTR,3312,1,10484,Corporate Entrepreneurship,Karonika,John R,36,11,2,0,0,0,1,3.687
Summer 2023,ENTR,3312,2,10485,Corporate Entrepreneurship,Karonika,John R,31,15,1,1,0,0,1,3.521
Summer 2023,LAW,5110,2,10496,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,
Summer 2023,LAW,5198,3,10498,Special Rsch & Writing,Vetter,Greg R,1,0,0,0,0,0,0,3.67
Summer 2023,LAW,5210,2,10499,Law Review,Sanders,Joseph,0,0,0,0,0,1,0,
Summer 2023,ECON,4390,2,10509,Economics Internship,Thornton,Rebecca Achee,2,0,0,0,0,0,0,4.0
Summer 2023,SPAN,2312,6,10513,Intermediate Spanish II,Bello Malagon,Ana Maribel,4,16,6,0,0,0,1,2.961
Summer 2023,SPAN,2312,12,10514,Intermediate Spanish II,Ruffino,Maythe,7,12,0,0,0,0,1,3.386
Summer 2023,SPAN,2308,1,10515,Span for Heritage Learners II,Martinez,Raquel,9,8,4,1,0,0,0,3.196
Summer 2023,ENGL,3328,1,10527,Masterpieces of British Lit II,Wood,Barry Albert,12,10,2,2,1,0,2,3.026
Summer 2023,BIOL,1107,1,10531,Biology for Science Majors II,Hanke,Marc H,8,8,1,0,1,0,1,3.186
Summer 2023,BIOL,1107,2,10532,Biology for Science Majors II,Hanke,Marc H,11,6,0,0,0,0,0,3.608
Summer 2023,BIOL,1107,3,10533,Biology for Science Majors II,Hanke,Marc H,9,5,1,0,0,0,1,3.533
Summer 2023,BIOL,1307,1,10535,Biology for Science Majors II,Farmer,Lisa M,16,16,11,7,3,0,5,2.679
Summer 2023,CHEM,6398,4,10539,Special Problems,Gilbertson,Scott R,0,0,0,0,0,3,0,
Summer 2023,CHEM,6398,13,10547,Special Problems,Harth,Eva M,0,0,0,0,0,2,0,
Summer 2023,CHEM,6398,19,10552,Special Problems,Chiang,Naihao,0,0,0,0,0,1,0,
Summer 2023,CHEM,6399,6,10557,Masters Thesis,Do,Loi H,0,0,0,0,0,1,0,
Summer 2023,CHEM,6698,1,10576,Special Problems,Do,Loi H,0,0,0,0,0,2,0,
Summer 2023,CHEM,6698,2,10577,Special Problems,Brgoch,Jakoah,0,0,0,0,0,2,0,
Summer 2023,CHEM,6698,4,10578,Special Problems,Teets,Thomas,0,0,0,0,0,3,0,
Summer 2023,CHEM,6698,5,10579,Special Problems,May,Jeremy A,0,0,0,0,0,3,0,
Summer 2023,CHEM,6698,6,10580,Special Problems,Xu,Shoujun,0,0,0,0,0,1,0,
Summer 2023,CHEM,6698,7,10581,Special Problems,Lee,T Randall,0,0,0,0,0,5,0,
Summer 2023,CHEM,6698,10,10584,Special Problems,Miljanic,Ognjen S,0,0,0,0,0,4,0,
Summer 2023,CHEM,6698,11,10585,Special Problems,Baldelli,Steve,0,0,0,0,0,2,0,
Summer 2023,CHEM,6698,13,10586,Special Problems,Zastrow,Melissa L,0,0,0,0,0,1,0,
Summer 2023,CHEM,6698,14,10587,Special Problems,Bittner,Eric R,0,0,0,0,0,1,0,
Summer 2023,CHEM,6698,15,10588,Special Problems,Wu,Judy,0,0,0,0,0,1,0,
Summer 2023,CHEM,6698,16,10589,Special Problems,Daugulis,Olafs,0,0,0,0,0,2,0,
Summer 2023,CHEM,6698,18,10590,Special Problems,Comito,Robert Joseph,0,0,0,0,0,4,0,
Summer 2023,CHEM,6698,19,10591,Special Problems,Carrow,Bradley,0,0,0,0,0,6,0,
Summer 2023,CHEM,8398,9,10635,Doctoral Research,Gilbertson,Scott R,0,0,0,0,0,2,0,
Summer 2023,CHEM,8398,18,10642,Doctoral Research,Harth,Eva M,0,0,0,0,0,3,0,
Summer 2023,CHEM,8399,2,10644,Doctoral Dissertation,Lee,T Randall,2,0,0,0,0,0,0,4.0
Summer 2023,CHEM,8399,16,10656,Doctoral Dissertation,Chen,Tai-Yen,2,0,0,0,0,0,0,4.0
Summer 2023,CHEM,8698,1,10658,Doctoral Research,Gilbertson,Scott R,0,0,0,0,0,1,0,
Summer 2023,CHEM,8698,2,10659,Doctoral Research,Daugulis,Olafs,0,0,0,0,0,2,0,
Summer 2023,CHEM,8698,4,10660,Doctoral Research,Comito,Robert Joseph,0,0,0,0,0,2,0,
Summer 2023,CHEM,8698,5,10661,Doctoral Research,Lee,T Randall,0,0,0,0,0,3,0,
Summer 2023,CHEM,8698,6,10662,Doctoral Research,Do,Loi H,0,0,0,0,0,1,0,
Summer 2023,CHEM,8698,7,10663,Doctoral Research,May,Jeremy A,0,0,0,0,0,6,0,
Summer 2023,CHEM,8698,9,10665,Doctoral Research,Teets,Thomas,0,0,0,0,0,3,0,
Summer 2023,CHEM,8698,14,10669,Doctoral Research,Brgoch,Jakoah,0,0,0,0,0,2,0,
Summer 2023,CHEM,8698,15,10670,Doctoral Research,Zastrow,Melissa L,0,0,0,0,0,2,0,
Summer 2023,CHEM,8698,31,10674,Doctoral Research,Bao,Jiming,0,0,0,0,0,1,0,
Summer 2023,CHEM,8699,4,10677,Doctoral Dissertation,Cuny,Gregory D,0,0,0,0,0,1,0,
Summer 2023,MATH,1324,5,10691,Finite Math with Applications,Chang,James A,26,8,8,12,4,0,12,2.724
Summer 2023,MATH,2312,4,10692,Precalculus,Caputo,Matthew G,32,28,14,8,6,0,16,2.773
Summer 2023,MATH,2414,3,10693,Calculus II,Haynes,Alan K,30,14,7,0,4,0,4,3.176
Summer 2023,MATH,3321,1,10696,Engineering Mathematics,Etgen,Garret J,4,8,6,4,3,0,2,2.24
Summer 2023,MATH,4378,1,10697,Advanced Linear Algebra II,Torok,Andrei S,1,2,6,0,0,0,1,2.408
